track,fold,feature_set,model,accuracy,precision,recall,f1,error_rate,roc_auc
multiclass,1,svd,LDA_Classifier,0.27021387584767864,0.2677870781262283,0.27022885951504794,0.2575667244662987,0.7297861241523214,
multiclass,1,svd,MLP_ANN,0.662754303599374,0.6649675991946967,0.6627367145400512,0.6637556422132189,0.33724569640062596,
multiclass,1,filter_kbest,KNN,0.44992175273865415,0.5078756728132697,0.44985992013916076,0.4514422233576208,0.5500782472613459,
multiclass,1,filter_kbest,SVM,0.47235263432446534,0.5020254361322192,0.47243881931229803,0.44647097085392173,0.5276473656755347,
multiclass,1,filter_kbest,DecisionTree,0.3967136150234742,0.41557471924583106,0.3968164596389582,0.3631832348042865,0.6032863849765258,
multiclass,1,filter_kbest,LogisticRegression,0.25508607198748046,0.2493058184644182,0.2550852563818887,0.23940720397536705,0.7449139280125195,
multiclass,1,filter_kbest,LDA_Classifier,0.25952008346374544,0.2575534086756128,0.2595174308366325,0.24692855687410703,0.7404799165362546,
multiclass,1,filter_kbest,MLP_ANN,0.5787689097548252,0.5818625955098076,0.5787483702737941,0.5797588901507164,0.4212310902451748,
multiclass,1,wrapper_sfs,KNN,0.4337506520605112,0.4708932774368339,0.4337046102103411,0.4406825519642966,0.5662493479394888,
multiclass,1,wrapper_sfs,SVM,0.4494001043296818,0.45725397668580187,0.449493635982993,0.41618788482308594,0.5505998956703182,
multiclass,1,wrapper_sfs,DecisionTree,0.39723526343244653,0.4003051716528606,0.39731380271717487,0.36427358718049885,0.6027647365675535,
multiclass,1,wrapper_sfs,LogisticRegression,0.23708920187793428,0.22722872245972373,0.2371107805324737,0.22588608061528456,0.7629107981220657,
multiclass,1,wrapper_sfs,LDA_Classifier,0.23761085028690662,0.2275989441441614,0.23763161209282377,0.22608260993256182,0.7623891497130934,
multiclass,1,wrapper_sfs,MLP_ANN,0.5263432446531038,0.5322627065525593,0.5263173123729834,0.5288774427268353,0.4736567553468962,
multiclass,1,embedded_l1,KNN,0.45122587376108503,0.5495052999610763,0.45113306395334984,0.444103181686078,0.548774126238915,
multiclass,1,embedded_l1,SVM,0.5438184663536776,0.5911216162545021,0.5439050792991582,0.5242186959071592,0.4561815336463224,
multiclass,1,embedded_l1,DecisionTree,0.4209702660406886,0.45085983899664506,0.42106133897964676,0.39404526688382785,0.5790297339593113,
multiclass,1,embedded_l1,LogisticRegression,0.2537819509650496,0.25589320733761317,0.25377977335316804,0.25057563247312553,0.7462180490349504,
multiclass,1,embedded_l1,LDA_Classifier,0.26291079812206575,0.2709570956497412,0.2629086229962453,0.2616056019161275,0.7370892018779343,
multiclass,1,embedded_l1,MLP_ANN,0.6637976004173187,0.6642439245371543,0.6637882496315032,0.6639353542911344,0.3362023995826813,
multiclass,1,ga_selection,KNN,0.47235263432446534,0.5504075538582741,0.47228120819305497,0.4768437563828389,0.5276473656755347,
multiclass,1,ga_selection,SVM,0.5219092331768388,0.568242843150886,0.5219937295965087,0.4977150019453248,0.4780907668231612,
multiclass,1,ga_selection,DecisionTree,0.41001564945226915,0.43908382397699974,0.41012421662507953,0.37792243942332265,0.5899843505477309,
multiclass,1,ga_selection,LogisticRegression,0.24700052164840897,0.23280929187006133,0.2470079418302634,0.22481679541134342,0.752999478351591,
multiclass,1,ga_selection,LDA_Classifier,0.2519561815336463,0.2384929536966785,0.25196605403712546,0.23084135742641218,0.7480438184663537,
multiclass,1,ga_selection,MLP_ANN,0.6338028169014085,0.6360180241472024,0.6338012874411512,0.6340348140202252,0.3661971830985915,
multiclass,2,original,KNN,0.44951734933472476,0.5665115865613564,0.4496097167425219,0.4415954139977509,0.5504826506652752,
multiclass,2,original,SVM,0.5473519436472737,0.5966061176698465,0.5473796725909839,0.5306472169412115,0.4526480563527263,
multiclass,2,original,DecisionTree,0.40281763631620143,0.4384000393248305,0.40281555414095127,0.3511050468342435,0.5971823636837985,
multiclass,2,original,LogisticRegression,0.2629793895121315,0.2705723959012391,0.2629715993613856,0.26290175853277775,0.7370206104878685,
multiclass,2,original,LDA_Classifier,0.2598486824941299,0.27310723797681796,0.2598336743134725,0.26117313011605764,0.74015131750587,
multiclass,2,original,MLP_ANN,0.6689277328463344,0.6700234261487626,0.6689468649684608,0.6692253541661337,0.33107226715366556,
multiclass,2,pca,KNN,0.47351943647273675,0.5716637944915386,0.47360030773315726,0.4750011430013673,0.5264805635272632,
multiclass,2,pca,SVM,0.5515262196712758,0.5985463631595215,0.5515555162189671,0.5354690046710427,0.4484737803287242,
multiclass,2,pca,DecisionTree,0.5254369945212627,0.5230235484192245,0.5255442349392874,0.5100505720008883,0.4745630054787373,
multiclass,2,pca,LogisticRegression,0.25045656144012524,0.25135222786488,0.25046074870387836,0.24305579262873875,0.7495434385598747,
multiclass,2,pca,LDA_Classifier,0.2528045917036264,0.25659166818828144,0.25280789485329913,0.24618330300847088,0.7471954082963737,
